crash_date,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code_1,vehicle_type_code_2,crash_datetime,hour,month,month_name,day_of_week,is_weekend,is_fatal
2020-08-29,BRONX,10466.0,40.8921,-73.83376,PRATT AVENUE,STRANG AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4342908,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 15:40:00,15,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11221.0,40.6905,-73.919914,BUSHWICK AVENUE,PALMETTO STREET,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,4343555,Sedan,Sedan,2020-08-29 21:00:00,21,8,August,Saturday,True,False
2020-08-29,,,40.8165,-73.946556,8 AVENUE,,,1,0,1,0,0,0,0,0,Backing Unsafely,,4343142,Station Wagon/Sport Utility Vehicle,,2020-08-29 18:20:00,18,8,August,Saturday,True,False
2020-08-29,BRONX,10459.0,40.82472,-73.89296,,,1047 SIMPSON STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4343588,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2020-08-29 00:00:00,0,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11203.0,40.64989,-73.93389,,,4609 SNYDER AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,4342953,Sedan,Sedan,2020-08-29 17:10:00,17,8,August,Saturday,True,False
2020-08-29,,,40.68231,-73.84495,WOODHAVEN BOULEVARD,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4342721,Station Wagon/Sport Utility Vehicle,,2020-08-29 03:29:00,3,8,August,Saturday,True,False
2020-08-29,BRONX,10459.0,40.825226,-73.88778,LONGFELLOW AVENUE,EAST 165 STREET,,0,0,0,0,0,0,0,0,Unspecified,,4343004,Station Wagon/Sport Utility Vehicle,,2020-08-29 19:30:00,19,8,August,Saturday,True,False
2020-08-29,,,40.80016,-73.93538,2 AVENUE,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,4343342,Station Wagon/Sport Utility Vehicle,,2020-08-29 00:00:00,0,8,August,Saturday,True,False
2020-08-29,BRONX,10466.0,40.894314,-73.86027,EAST 233 STREET,CARPENTER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4343030,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 19:50:00,19,8,August,Saturday,True,False
2020-08-29,QUEENS,11385.0,40.70678,-73.90888,,,565 WOODWARD AVENUE,0,0,0,0,0,0,0,0,Unspecified,,4343040,Sedan,,2020-08-29 09:20:00,9,8,August,Saturday,True,False
2020-08-29,QUEENS,11436.0,40.680237,-73.79774,,,116-52 144 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4342743,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 00:07:00,0,8,August,Saturday,True,False
2020-08-29,QUEENS,11433.0,40.704422,-73.792854,ARCHER AVENUE,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Oversized Vehicle,Passing Too Closely,4343448,Bus,Station Wagon/Sport Utility Vehicle,2020-08-29 14:00:00,14,8,August,Saturday,True,False
2020-08-29,BRONX,10455.0,40.812965,-73.9161,EAST 146 STREET,BROOK AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,4343143,Station Wagon/Sport Utility Vehicle,,2020-08-29 21:33:00,21,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11249.0,40.70166,-73.961464,WILLIAMSBURG STREET WEST,WYTHE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,4343074,Sedan,,2020-08-29 22:53:00,22,8,August,Saturday,True,False
2020-08-29,,,40.835373,-73.842186,WATERBURY AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,,4342716,Station Wagon/Sport Utility Vehicle,Motorcycle,2020-08-29 04:14:00,4,8,August,Saturday,True,False
2020-08-29,,,40.65965,-73.773834,ROCKAWAY BOULEVARD,NASSAU EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4342746,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 06:35:00,6,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11206.0,40.699707,-73.95718,BEDFORD AVENUE,WALLABOUT STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343077,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2020-08-29 13:00:00,13,8,August,Saturday,True,False
